"","words","counts","len"
"90","¡por",1,4
"91","¡prima!",1,7
"92","¡qué",3,4
"93","¡quiero",1,7
"94","¡quita",1,6
"95","¡sálvese",1,8
"96","¡señor",1,6
"97","¡Si",1,3
"98","¡sí,",1,4
"99","¡sí!",1,4
"100","¡sufro",1,6
"101","¡Todavía",1,8
"102","¡traición!",2,10
"103","¡V.",1,3
"104","¡válgame",1,8
"105","¡Vaya",2,5
"106","¡Vayan",1,6
"107","¡verdugo",1,8
"108","¡viva",1,5
"109","¡Vive",1,5
"110","¡ViveCristo!",1,12
"111","¡vivo!El",1,8
"112","¡voto",1,5
"113","¡Vuecencia",1,10
"114","¡Y",1,2
"115","¡ya",1,3
"116","¡yo",1,3
"117","¡Yo",1,3
"118","¡yo,",1,4
"119","¡Yo,",1,4
"120","¿a",2,2
"121","¿A",1,2
"122","¿acaso",10,6
"123","¿Acaso",6,6
"124","¿acepta",2,7
"125","¿acepta?--Sí,",1,13
"126","¿apenasllego",1,12
"127","¿Aprendió",1,9
"128","¿aquí",1,5
"129","¿así",2,4
"130","¿Así",2,4
"131","¿buena",1,6
"132","¿cómo",8,5
"133","¿Cómo",3,5
"134","¿comprende",1,10
"135","¿con",2,4
"136","¿conoces",1,8
"137","¿conque",5,7
"138","¿Conque",3,7
"139","¿consentiría",1,12
"140","¿consiente",1,10
"141","¿cree",1,5
"142","¿cuál",1,5
"143","¿Cuál",2,5
"144","¿cuál?--La",1,10
"145","¿cuáles",3,7
"146","¿Cuándo",1,7
"147","¿cuántos",1,8
"148","¿de",9,3
"149","¿De",2,3
"150","¿Dentro",1,7
"151","¿don",1,4
"152","¿dónde",3,6
"153","¿Dónde",4,6
"154","¿dos",1,4
"155","¿duerme",1,7
"156","¿eh?--Sí,",1,9
"157","¿empieza",1,8
"158","¿enciende",1,9
"159","¿Entre",1,6
"160","¿eres",1,5
"161","¿es",4,3
"162","¿Es",1,3
"163","¿está",1,5
"164","¿Está",2,5
"165","¿están",1,6
"166","¿Están",1,6
"167","¿estás",1,6
"168","¿existe",1,7
"169","¿ha",3,3
"170","¿Ha",3,3
"171","¿han",1,4
"172","¿hanacabado",1,11
"173","¿has",1,4
"174","¿iba",1,4
"175","¿la",1,3
"176","¿La",1,3
"177","¿le",5,3
"178","¿Le",6,3
"179","¿Leparece",1,9
"180","¿llevas",1,7
"181","¿luego",2,6
"182","¿me",5,3
"183","¿Me",5,3
"184","¿Nadie",1,6
"185","¿necesito",1,9
"186","¿no",26,3
"187","¿No",5,3
"188","¿no?",1,4
"189","¿ocurrirá",1,9
"190","¿oyó",1,4
"191","¿para",2,5
"192","¿pero",8,5
"193","¿Pero",1,5
"194","¿piden",1,6
"195","¿podemos",1,8
"196","¿podría",1,7
"197","¿por",10,4
"198","¿Por",5,4
"199","¿porqué",1,7
"200","¿porventura",1,11
"201","¿que",3,4
"202","¿qué",38,4
"203","¿Qué",17,4
"204","¿quéme",1,6
"205","¿quién",8,6
"206","¿Quién",1,6
"207","¿Quiénvive?--Amigo,",1,19
"208","¿quiere",4,7
"209","¿Quiere",4,7
"210","¿Quieres",1,8
"211","¿Recibiste",1,10
"212","¿sabe",1,5
"213","¿Sabe",1,5
"214","¿sabenVds.",1,10
"215","¿SabeV.",1,7
"216","¿Salvo",1,6
"217","¿se",2,3
"218","¿Se",1,3
"219","¿sed?--Tanto",1,12
"220","¿será",1,5
"221","¿siente",1,7
"222","¿Sino",1,5
"223","¿tal",1,4
"224","¿Te",1,3
"225","¿tiene",1,6
"226","¿Tiene",2,6
"227","¿tienen",1,7
"228","¿Traes",1,6
"229","¿Usted?",2,7
"230","¿V.",3,3
"231","¿V.cree",1,7
"232","¿V.sabe?--Todo,",1,15
"233","¿Va",1,3
"234","¿ve",4,3
"235","¿Verdad",1,7
"236","¿verdadque",1,10
"237","¿ves",1,4
"238","¿vino",1,5
"239","¿volveré",1,8
"240","¿y",14,2
"241","¿Y",9,2
"242","...",2,3
"243","...si",1,5
"244",".°.seguida",1,10
"245","'AS-IS',",1,8
"246","""Defects,""",1,10
"247","""Information",1,12
"248","""Plain",1,6
"249","""PlainVanilla",1,13
"250","""Project",3,8
"251","""ProjectGutenberg""",1,18
"252","""ProjectGutenberg""),",1,20
"253","""Rightof",1,8
"254","«",4,1
"255","«adiós»",1,7
"256","«Es",1,3
"257","«No",1,3
"258","»",2,1
"259","»,",2,2
"260","».",1,2
"261","»Como",1,5
"262","»Todas",1,6
"263","(_N.",1,4
"264","(""theFoundation""",1,16
"265","(801)",1,5
"266","(a)",1,3
"267","(and",1,4
"268","(any",1,4
"269","(b)",1,3
"270","(back",2,5
"271","(c)",1,3
"272","(does",1,5
"273","(if",1,3
"274","(lameseta",1,9
"275","(or",2,3
"276","(supongamos",1,11
"277","[EBook",1,6
"278","***",1,3
"279","********",1,8
"280","*****This",1,9
"281","***Produced",1,11
"282","#54430]Language:",1,16
"283","$5,000)",1,7
"284","1:",1,2
"285","1.",1,2
"286","1.C",1,3
"287","1.E",1,3
"288","1.E.1",3,5
"289","1.E.1.1.E.7.",1,12
"290","1.E.7",2,5
"291","1.E.8",2,5
"292","1.E.9.1.E.3.",1,12
"293","1.E.9.1.E.8.",1,12
"294","1.F.3,",3,6
"295","1.F.3.",1,6
"296","15",1,2
"297","1500",1,4
"298","1566",1,4
"299","17de",1,4
"300","18",1,2
"301","18...",1,5
"302","18...,",1,6
"303","1857,",1,5
"304","186...,",1,7
"305","1860",1,4
"306","1863",1,4
"307","1868",1,4
"308","2",1,1
"309","2,000",1,5
"310","2:",1,2
"311","2.",1,2
"312","20%",1,3
"313","2001,",1,5
"314","2017",1,4
"315","21",1,2
"316","23ESTA",1,6
"317","25,",1,3
"318","3",3,1
"319","3.",1,2
"320","30",1,2
"321","331920LAS",1,9
"322","4",1,1
"323","4,",1,2
"324","4.",1,2
"325","5.",1,2
"326","50",1,2
"327","54430-8.txt",1,11
"328","54430-8.zip",1,11
"329","596-1887.",1,9
"330","60",1,2
"331","64-6221541.",1,11
"332","750175,",1,7
"333","809",1,3
"334","84116,",1,6
"335","90",2,2
"336","91",1,2
"337","99775,",1,6
"338","a",3317,1
"339","A",21,1
"340","a...--Más",1,9
"341","aaclararse",1,10
"342","aambos",1,6
"343","aapoderarse",1,11
"344","aaquel",1,6
"345","aaquél,",1,7
"346","aaquella",1,8
"347","aarrastrarse",1,12
"348","aavanzar",1,8
"349","abadesa",5,7
"350","abadesa,",4,8
"351","abadesa.Don",1,11
"352","abajar.",1,7
"353","abajo",4,5
"354","abajo,",1,6
"355","abajo;",1,6
"356","abalanzándose",1,13
"357","abalanzaron",2,11
"358","abandona",1,8
"359","abandonaba",1,10
"360","abandonada",1,10
"361","abandonada,",1,11
"362","abandonado",6,10
"363","abandonado.La",1,13
"364","abandonadodonde",1,15
"365","abandonados",1,11
"366","abandonados,",1,12
"367","abandonan;",1,10
"368","abandonan.--Le",1,14
"369","abandonan.Era",1,13
"370","abandonando",1,11
"371","abandonandode",1,13
"372","abandonar",14,9
"373","abandonará",3,10
"374","abandonara,",1,11
"375","abandonaría",1,11
"376","abandonarinmediatamente",1,23
"377","abandonarla",1,11
"378","abandonaron",6,11
"379","abandonase",2,10
"380","abandonasea",1,11
"381","abandonaseinmediatamente",1,24
"382","abandone",1,8
"383","abandoné",1,8
"384","abandones,",1,10
"385","abandono",2,8
"386","abandonó",5,8
"387","abarcaba",1,8
"388","abatimiento",1,11
"389","abatir",1,6
"390","abdicación",3,10
"391","abdicación,",1,11
"392","abdicado",1,8
"393","abdicar",1,7
"394","abdicó",1,6
"395","Abel?Al",1,7
"396","abertura",3,8
"397","abertura,",2,9
"398","abertura,son",1,12
"399","aberturaque",1,11
"400","aberturas",1,9
"401","abide",1,5
"402","abierta",3,7
"403","abierta,",1,8
"404","abierta;",2,8
"405","abiertamente",1,12
"406","abiertas",1,8
"407","abierto",3,7
"408","abiertoal",1,9
"409","abiertos",2,8
"410","abiertos.--¡Alto!",1,17
"411","abiertovaliéndose",1,17
"412","abnegación",3,10
"413","abnegado",1,8
"414","abnegado,",1,9
"415","abogado.",1,8
"416","abono,",1,6
"417","abortado",1,8
"418","about",7,5
"419","About",1,5
"420","abrasadaatmósfera,",1,18
"421","abrasadora",1,10
"422","abrasados",1,9
"423","abraza",1,6
"424","abrazados.--Esperemos,",1,22
"425","abrazándola,",1,12
"426","abrazándole",1,11
"427","abrazar",1,7
"428","abrazaron",1,9
"429","abrazo",2,6
"430","abre",1,4
"431","abría",2,5
"432","abrían",1,6
"433","abriendo",3,8
"434","abriéndolo",1,10
"435","abrieron",7,8
"436","abriese.",1,8
"437","abriesen",1,8
"438","abrigados",1,9
"439","abrigo",3,6
"440","abrió",33,5
"441","abrióde",1,7
"442","abrir",8,5
"443","abrirla",2,7
"444","abrirle",1,7
"445","abrirlo",1,7
"446","abrirse",5,7
"447","abrirse,",1,8
"448","abrírselo,",1,10
"449","abrogaradisponiendo",1,19
"450","abrumadoras",1,11
"451","abrumar",1,7
"452","abrumaron",1,9
"453","absolución",1,10
"454","absoluta",2,8
"455","absolutamente",5,13
"456","absolutas",1,9
"457","absoluto",3,8
"458","absoluto.La",1,11
"459","absolutosilencio,",1,17
"460","absolverle",1,10
"461","absorbían",1,9
"462","absorbiera",1,10
"463","absorto",1,7
"464","absortopor",1,10
"465","absortos",1,8
"466","abstracción",1,11
"467","absurda",1,7
"468","absurda,",1,8
"469","absurdo?",1,8
"470","abuelocasó,",1,11
"471","abultadas",2,9
"472","abundan",2,7
"473","abundante",2,9
"474","abundantemente",1,14
"475","abundosa,",1,9
"476","aburriendo;",1,11
"477","aburriendo?--Me",1,15
"478","abusaba",1,7
"479","abusar",2,6
"480","abuscarle",1,9
"481","abusó",1,5
"482","acá",16,3
"483","acá,",2,4
"484","acá.",1,4
"485","acaba",8,5
"486","acababa",15,7
"487","acababade",1,9
"488","acababan",4,8
"489","acabade",1,7
"490","acabado",1,7
"491","acaballo",3,8
"492","acaballo,",1,9
"493","acabamos",3,8
"494","acaban",1,6
"495","acabar",6,6
"496","acabarcon",1,9
"497","acabaron",2,8
"498","acabas",2,6
"499","acabase",1,7
"500","acabo",5,5
"501","Acabo",1,5
"502","acabó",3,5
"503","acabópor",1,8
"504","acada",1,5
"505","acaecerle",1,9
"506","acaecieron.El",1,13
"507","acallado",1,8
"508","acampaban",1,9
"509","acampan",1,7
"510","acampar",1,7
"511","acamparán",1,9
"512","acampo",1,6
"513","acampó",1,6
"514","acariciaba,",1,11
"515","acarrearía",1,10
"516","acarrearla",1,10
"517","acaso",19,5
"518","acaso,",2,6
"519","acaso?--¡Caramba!",1,17
"520","acasovivía",1,10
"521","acatamiento",1,11
"522","acaudalados",1,11
"523","acaudalados,",1,12
"524","acausa",1,6
"525","acceder",1,7
"526","accedieron",1,10
"527","accept",1,6
"528","accepted",1,8
"529","accepted,",1,9
"530","accepting",1,9
"531","acceso",1,6
"532","access",8,6
"533","accessed,",1,9
"534","accessible",1,10
"535","accessto",1,8
"536","accidente",2,9
"537","acción",10,6
"538","acción,",2,7
"539","acción:",1,7
"540","acciones",3,8
"541","acciones.--¡Ya!",1,15
"542","acciones.En",1,11
"543","accordance",1,10
"544","acechaban",2,9
"545","acechando.--Lo",1,14
"546","acechando.--Nada",1,16
"547","acecinaban",1,10
"548","aceitunado,",1,11
"549","acémilas",1,8
"550","acento",21,6
"551","acentoindefinible.--No",1,22
"552","acepción",2,8
"553","acepta",1,6
"554","aceptadas",1,9
"555","aceptado",1,8
"556","aceptan,",1,8
"557","aceptando",1,9
"558","aceptar",8,7
"559","aceptar,",1,8
"560","aceptar.",1,8
"561","aceptara.--No",1,13
"562","aceptaré",1,8
"563","aceptaremos",1,11
"564","aceptarlo?",1,10
"565","acepto",3,6
"566","aceptó",5,6
"567","acepto,",2,7
"568","aceptó,y",1,8
"569","acepto.",1,7
"570","acepto.--Le",1,11
"571","acepto.--Perfectamente,",1,23
"572","acerca",3,6
"573","acerca;",1,7
"574","acercaba",3,8
"575","acercado",1,8
"576","acercado,",1,9
"577","acercadoapresuradamente",1,23
"578","acercamos",2,9
"579","acercando",1,9
"580","acercando.",1,10
"581","acercándose",11,11
"582","acercándose,",1,12
"583","acercará?--Se",1,13
"584","acercara.Los",1,12
"585","acercarnosuno",1,13
"586","acercaron",3,9
"587","acercarse",5,9
"588","acercase",1,8
"589","acercó",18,6
"590","acero",1,5
"591","acérquense.Al",1,13
"592","acérquese",1,9
"593","acerrar,",1,8
"594","acérrimos",1,9
"595","acertaba",1,8
"596","acertada,",1,9
"597","acertado",1,8
"598","acertado,",1,9
"599","aCésar,",1,7
"600","achica",1,6
"601","acierta",1,7
"602","acierto,",1,8
"603","acierto.Mientras",1,16
"604","aclamaba",1,8
"605","aclamaciones,",1,13
"606","aclamarla",1,9
"607","aclamarlas,",1,11
"608","aclarando",1,9
"609","aclararse,ya",1,12
"610","acobarda",1,8
"611","acoger",1,6
"612","acogida",4,7
"613","acogido",1,7
"614","Acogido",1,7
"615","acogimientoque",1,14
"616","acogiófavorablemente",1,20
"617","acombatir,",1,10
"618","acomodándose",1,12
"619","acomodaticio;",1,13
"620","acomode,",1,8
"621","acomode.--Con",1,13
"622","acomodó",1,7
"623","acompaña",1,8
"624","acompaña,",1,9
"625","acompaña.--Verdad",1,17
"626","acompañaba",1,10
"627","acompañaban",3,11
"628","acompañaban,",1,12
"629","acompañado",7,10
"630","acompañado,",2,11
"631","acompañadode",1,12
"632","acompañados",3,11
"633","acompañan,",1,10
"634","acompañándonos.--En",1,19
"635","acompañándose",1,13
"636","acompañante,",1,12
"637","acompañar",2,9
"638","acompañar.No",1,12
"639","acompañará",1,10
"640","acompañarán",1,11
"641","acompañarle",4,11
"642","acompañarme;",1,12
"643","acompañarme?--De",1,16
"644","acompañarnos.--Ea,",1,18
"645","acompañarnos.--Le",1,17
"646","acompañase",1,10
"647","acompañase,",1,11
"648","acompañe",2,8
"649","acompañe?--Cuento",1,17
"650","acompañe.--¡Qué",1,15
"651","acompañe.El",1,11
"652","acompañesu",1,10
"653","acompaño",1,8
"654","acompasión?",1,11
"655","aconocer",2,8
"656","aconseja",1,8
"657","aconsejaba",1,10
"658","aconsejo",1,8
"659","aconsejó",1,8
"660","aconsiderable",1,13
"661","acontece",3,8
"662","acontecería;",1,12
"663","acontecía,",1,10
"664","acontecido!",1,11
"665","acontecido.Don",1,14
"666","acontecimiento,",1,15
"667","acontecimientos",11,15
"668","acontecimientosdel",1,18
"669","acordaba",1,8
"670","acordado",1,8
"671","acordadode",1,10
"672","acordarán",1,9
"673","acordes,",1,8
"674","acorralado",3,10
"675","acorrer",1,7
"676","acorta",1,6
"677","acortado",1,8
"678","acostado",1,8
"679","acostarse;",1,10
"680","acostó;pero",1,11
"681","acostumbrada",1,12
"682","acostumbrado",3,12
"683","acostumbrados",2,13
"684","acostumbrarse",1,13
"685","acostumbras",1,11
"686","acostumbro",1,10
"687","acre",1,4
"688","acrecentando",1,12
"689","acrecentar",1,10
"690","acritud",1,7
"691","actitud",5,7
"692","actitudenérgica",1,15
"693","activamente",2,11
"694","activar",1,7
"695","active",1,6
"696","actividad",1,9
"697","actividadpara",1,13
"698","activos,habían",1,14
"699","acto",6,4
"700","actoque",1,7
"701","actos",2,5
"702","ACTUAL,",1,7
"703","actuales",2,8
"704","actualidad",6,10
"705","actualidad,",1,11
"706","actualidad.",1,11
"707","actualmente?--En",1,16
"708","actualmenteuna",1,14
"709","acude",1,5
"710","acudían",2,7
"711","acudido",1,7
"712","acudidopresurosas",1,17
"713","acudieron",3,9
"714","acudieroninmediatamente",1,23
"715","acudió",6,6
"716","acudir",3,6
"717","acudir,a",1,8
"718","acuerdas",1,8
"719","acuerde",1,7
"720","acuerdo",6,7
"721","acuerdo,",1,8
"722","acuerdo;",1,8
"723","acuerdo.",1,8
"724","acumplir",1,8
"725","acuñaseny",1,9
"726","acurrucadasy",1,12
"727","acusa?--Señor",1,13
"728","acusan",1,6
"729","acusarse",1,8
"730","acústica",1,8
"731","acuyo",2,5
"732","adamaban",1,8
"733","adaptaba",1,8
"734","adaptándose",1,11
"735","adaptó",1,6
"736","addition",1,8
"737","additional",2,10
"738","Additional",1,10
"739","address",1,7
"740","address:",1,8
"741","addresses.",1,10
"742","adecírmelo",1,10
"743","adecuado",1,8
"744","adefect",1,7
"745","adejarlas",1,9
"746","adejarlo",1,8
"747","adelantada",1,10
"748","adelantado",1,10
"749","adelantando",3,11
"750","adelantarte",1,11
"751","adelantase",1,10
"752","adelante",16,8
"753","adelante,",11,9
"754","adelante;",1,9
"755","adelante:",1,9
"756","adelante.",1,9
"757","adelante.--¿Conque",1,18
"758","adelante.--Todavía",1,18
"759","adelante.Don",1,12
"760","adelante.Doña",1,13
"761","adelante.El",3,11
"762","adelantesirvieron",1,17
"763","adelantó",1,8
"764","ademán",15,6
"765","ademánalguno",1,12
"766","ademánpensativo",1,15
"767","ademánpreocupado.--¿Puedo",1,25
"768","además",6,6
"769","Además",1,6
"770","además,",5,7
"771","Además,",5,7
"772","ademostrárselo:",1,15
"773","adentros",1,8
"774","adentros:--Me",1,13
"775","aderéceme",1,9
"776","aderramarse.Y",1,13
"777","adescansar.--Como",1,17
"778","adesempeñar",1,11
"779","adesensillar",1,12
"780","adesenvolverse",1,14
"781","adespertarse,",1,13
"782","adherida",1,8
"783","adhesión",1,8
"784","adhesión.--¡Demonios!",1,21
"785","adiciónde",1,9
"786","adicto",2,6
"787","adiós",2,5
"788","adiós,",2,6
"789","adiós;me",1,8
"790","adiós.",1,6
"791","adiós.--Adiós,",1,14
"792","adiós.--Dispense",1,16
"793","Adiós.--Vigilaré,",1,17
"794","adiós.El",1,8
"795","Adiós.El",1,8
"796","adirigirse",1,10
"797","adivinado",3,9
"798","adivinadosu",1,11
"799","adivinar",2,8
"800","adivine",1,7
"801","adiviné",1,7
"802","adiviné.--¡Traidor!",1,19
"803","adivino",3,7
"804","adivinó",1,7
"805","adminículos",1,11
"806","administrarjusticia,",1,20
"807","admira",1,6
"808","admiraba",1,8
"809","admirable",2,9
"810","admiración",5,10
"811","admiración,",1,11
"812","admiración.--Como",1,17
"813","admiración.--Sí;",1,16
"814","admiración.--Ya",1,15
"815","admiracióny",1,11
"816","admirado",3,8
"817","admirados,",1,10
"818","admirar.Don",1,11
"819","admirara",1,8
"820","admiraría",1,9
"821","admiró",2,6
"822","admite",1,6
"823","admitir",3,7
"824","admito",1,6
"825","Adolfo",22,6
"826","Adolfo,",24,7
"827","Adolfo;",2,7
"828","Adolfo!",1,7
"829","Adolfo?",1,7
"830","Adolfo.--Antes",1,14
"831","Adolfo.--Demontre,",1,18
"832","Adolfo.--No",1,11
"833","Adolfo.--Sepa,",1,14
"834","Adolfo.--Si",1,11
"835","Adolfo.--Vive",1,13
"836","Adolfo.Dispénseme",1,17
"837","aDomingo",1,8
"838","adon",4,4
"839","adoña",1,5
"840","adonde",1,6
"841","adoptado,",1,9
"842","adoptar",3,7
"843","adoptar.",1,8
"844","adoptarael",1,10
"845","adoptarlos,podían",1,17
"846","adoptivo",1,8
"847","adopto",1,6
"848","adoraban",1,8
"849","adorable",1,8
"850","adoración.Graciosamente",1,23
"851","adorado",1,7
"852","adorarla.--¡Es",1,14
"853","adormecido",1,10
"854","adornadas,",1,10
"855","adornado",2,8
"856","adquirí",1,7
"857","adquirida",1,9
"858","adquirido",1,9
"859","adquirió",1,8
"860","adquirir",1,8
"861","aduana",2,6
"862","adversa",1,7
"863","adversario",3,10
"864","adversario,",2,11
"865","adversarios",2,11
"866","adversarios,",2,12
"867","adversarios.Luego",1,17
"868","adversidad?--Para",1,17
"869","adversidad.",1,11
"870","adversos",1,8
"871","advertencia",1,11
"872","advertencia.--Diga",1,18
"873","advertía",1,8
"874","advertía,",1,9
"875","advertíaque",1,11
"876","advertido",4,9
"877","advertido.--Gracias;",1,20
"878","advertidos",1,10
"879","advertir",3,8
"880","advertirá",1,9
"881","advertiré",1,9
"882","advertirla,",1,11
"883","advertirla;porque,",1,18
"884","advertirlo",1,10
"885","advertirme;",1,11
"886","advierta",1,8
"887","advierte",1,8
"888","advierto",2,8
"889","advirtiendo",1,11
"890","advirtiera,",1,11
"891","advirtió",2,8
"892","aello",2,5
"893","aencontrarle.--Está",1,19
"894","aencontrarnos",1,13
"895","aentender",1,9
"896","aérea",1,5
"897","aerolito",1,8
"898","aesa",1,4
"899","aescalón",1,8
"900","aescape",1,7
"901","aescuchar",1,9
"902","aese",1,4
"903","aesos",1,5
"904","aesta",1,5
"905","aestas",1,6
"906","aéste",1,5
"907","aéste,",1,6
"908","aestorbarle",1,11
"909","aestos",1,6
"910","afable,",1,7
"911","afalta",1,6
"912","afané",1,5
"913","afanosos",1,8
"914","afectado",1,8
"915","afectando",1,9
"916","afecto",2,6
"917","afecto.--¿En",1,12
"918","afectuosa",2,9
"919","afectuosa;",1,10
"920","afectuosamente",4,14
"921","afectuosamentelas",1,17
"922","afectuosas",1,10
"923","afeliz",1,6
"924","aferrado",1,8
"925","afianzando",1,10
"926","aficionado",1,10
"927","aficiónal",1,9
"928","aficionarse",1,11
"929","afilada",1,7
"930","afiliado",1,8
"931","afiliado,",1,9
"932","afiliados",1,9
"933","afiliados,",1,10
"934","afiliarse",1,9
"935","afilias",1,7
"936","afin",2,4
"937","afinación.XAMORDolores",1,22
"938","afirmación",1,10
"939","afirmaciones",1,12
"940","afirmar",2,7
"941","afirmaron",1,9
"942","afirmativa",1,10
"943","afirmativa.--Está",1,17
"944","afirmó",1,6
"945","aflictivo;",1,10
"946","aflojaron,",1,10
"947","afluía",1,6
"948","afluían",1,7
"949","afluían,",1,8
"950","afluye",3,6
"951","afluyen",1,7
"952","afortunado",1,10
"953","afrenta",1,7
"954","afrenta.--Le",1,12
"955","afrentas",1,8
"956","África",1,6
"957","afuera",1,6
"958","afuerza",1,7
"959","agarraban",1,9
"960","agarrotado",1,10
"961","agasajo",1,7
"962","agasajoy",1,8
"963","agave",1,5
"964","agave,",1,6
"965","agave.Dicho",1,11
"966","agent",1,5
"967","agente",1,6
"968","agentes",3,7
"969","ágiles",1,6
"970","agitaba",1,7
"971","agitación",4,9
"972","agitando",1,8
"973","agitó",1,5
"974","agonía",3,6
"975","agonía,",1,7
"976","agonía;",1,7
"977","agonía.",1,7
"978","agoníaque",1,9
"979","agonizandoy",1,11
"980","aGonzález",1,9
"981","agradable",7,9
"982","agradable,",2,10
"983","agradables,",1,11
"984","agradecerá",1,10
"985","agradecida",1,10
"986","agradecidaal",1,12
"987","agradecidísimo.--Creía",1,22
"988","agradecimiento",1,14
"989","agradecimiento,",1,15
"990","agradecimiento?--Dice",1,21
"991","agradezco",10,9
"992","agradezcoen",1,11
"993","agrado",1,6
"994","agrandar",1,8
"995","agrandó",1,7
"996","agree",6,5
"997","AGREE",2,5
"998","agreed",1,6
"999","agreement",4,9
"1000","AGREEMENT",1,9
"1001","agreement,",6,10
"1002","agreement.",3,10
"1003","agreementviolates",1,17
"1004","agregado",4,8
"1005","agrego",1,6
"1006","agreste",1,7
"1007","agriadas",1,8
"1008","agrupada",1,8
"1009","agrupado",1,8
"1010","agruparon",1,9
"1011","agruparse",1,9
"1012","agua",4,4
"1013","agua,",1,5
"1014","aguantar",1,8
"1015","aguarda",3,7
"1016","aguarda;",1,8
"1017","aguardaba",3,9
"1018","aguardábamos",1,12
"1019","aguardaban",2,10
"1020","aguardado",3,9
"1021","aguardadoya",1,11
"1022","aguárdame.López,",1,16
"1023","aguardando",20,10
"1024","aguardando,",3,11
"1025","aguardando;",1,11
"1026","aguardando.--¡Uf!",1,17
"1027","aguardando.--A",1,14
"1028","aguardando.--Es",1,15
"1029","aguardando.--Hable",1,18
"1030","aguardando.--Pues",1,17
"1031","aguardando.Después",1,18
"1032","aguardandoa",1,11
"1033","aguardandocon",1,13
"1034","aguardandomuchas",1,16
"1035","aguardanensillados",1,18
"1036","aguardar",4,8
"1037","aguardar,",1,9
"1038","aguardará",2,9
"1039","aguardaral",2,10
"1040","aguardarán.",1,11
"1041","aguardaré",1,9
"1042","aguardarle",1,10
"1043","aguardarles",1,11
"1044","aguardarme,",1,11
"1045","aguardaron",1,10
"1046","aguardarte.",1,11
"1047","aguardase",1,9
"1048","aguárdeme",1,9
"1049","aguardemos,",1,11
"1050","aguardiente",1,11
"1051","aguardo",3,7
"1052","aguardó",6,7
"1053","aguardo,",1,8
"1054","aguas",2,5
"1055","aguay",1,5
"1056","aguda",1,5
"1057","agudezas",1,8
"1058","agudezas,",1,9
"1059","agudísimos",1,10
"1060","agudo",2,5
"1061","agüero.",1,7
"1062","aguerridas",1,10
"1063","aguerridos.Tales",1,16
"1064","aguijaban,",1,10
"1065","aguijada",1,8
"1066","aguijado",1,8
"1067","aguijando",1,9
"1068","agujeros",1,8
"1069","agujerosdel",1,11
"1070","aguzada",1,7
"1071","ahí",20,3
"1072","Ahí",6,3
"1073","ahí,",5,4
"1074","Ahí,",1,4
"1075","ahí;",1,4
"1076","ahí?",1,4
"1077","ahífuera",1,8
"1078","ahijada",1,7
"1079","Ahijado",1,7
"1080","Ahíllega",1,8
"1081","ahínco",1,6
"1082","ahísus",1,6
"1083","ahogada",1,7
"1084","ahogado",1,7
"1085","ahogados",1,8
"1086","ahogando",5,8
"1087","ahogó",1,5
"1088","ahora",56,5
"1089","Ahora",22,5
