id,dades
u186336,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186336.csv
u186338,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186338.csv
u186343,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186343.csv
u186344,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186344.csv
u186347,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186347.csv
u186355,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186355.csv
u186596,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186596.csv
u186597,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186597.csv
u186598,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186598.csv
u186600,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186600.csv
u186601,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186601.csv
u186602,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186602.csv
u186603,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186603.csv
u186604,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186604.csv
u186605,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186605.csv
u186607,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186607.csv
u186610,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186610.csv
u186339,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186339.csv
u186352,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186352.csv
u186599,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186599.csv
u186606,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186606.csv
u186609,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186609.csv
u186608,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186608.csv
u186345,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186345.csv
u186348,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u186348.csv
u187331,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u187331.csv
u187332,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u187332.csv
u187181,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u187181.csv
u187184,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u187184.csv
u187186,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u187186.csv
u187770,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u187770.csv
u188231,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u188231.csv
u188233,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u188233.csv
u189517,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u189517.csv
u191236,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2023q3/session08/data/csvs/session06/data/csvs/u191236.csv
